1.206869140625000000e+04;2.764079475402832031e+01;2.589429296875000000e+04;4.403320693969726562e+01;3.332006454467773438e+00;8.095957031250000000e+02;1.408572021484375000e+03
1.254355371093750000e+04;2.887652015686035156e+01;2.622051562500000000e+04;4.467401885986328125e+01;3.657623529434204102e+00;8.199665527343750000e+02;1.428694335937500000e+03
1.331502441406250000e+04;3.057059478759765625e+01;2.637217187500000000e+04;4.497458648681640625e+01;3.820752143859863281e+00;8.248789062500000000e+02;1.437938354492187500e+03
1.361153222656250000e+04;3.154347610473632812e+01;2.651126953125000000e+04;4.524806594848632812e+01;3.974334001541137695e+00;8.294360961914062500e+02;1.446249877929687500e+03
1.382534375000000000e+04;3.205944824218750000e+01;2.662602343750000000e+04;4.547934722900390625e+01;4.108839035034179688e+00;8.332210083007812500e+02;1.453217651367187500e+03
1.386198828125000000e+04;3.233655166625976562e+01;2.671931250000000000e+04;4.566891479492187500e+01;4.201218605041503906e+00;8.363049926757812500e+02;1.458911621093750000e+03
1.395787792968750000e+04;3.266653060913085938e+01;2.680543750000000000e+04;4.584115219116210938e+01;4.277697563171386719e+00;8.391759643554687500e+02;1.464043701171875000e+03
1.414179199218750000e+04;3.301197052001953125e+01;2.687925976562500000e+04;4.598970413208007812e+01;4.331288814544677734e+00;8.416475830078125000e+02;1.468448730468750000e+03
1.427592871093750000e+04;3.358045578002929688e+01;2.694000000000000000e+04;4.611421585083007812e+01;4.373440265655517578e+00;8.436916503906250000e+02;1.472115600585937500e+03
1.434686816406250000e+04;3.355458831787109375e+01;2.698096875000000000e+04;4.619600296020507812e+01;4.414227962493896484e+00;8.450736083984375000e+02;1.474523681640625000e+03
1.441570019531250000e+04;3.380020523071289062e+01;2.701367382812500000e+04;4.626231002807617188e+01;4.444963455200195312e+00;8.461734008789062500e+02;1.476480957031250000e+03
1.448602636718750000e+04;3.385717773437500000e+01;2.703535742187500000e+04;4.630681610107421875e+01;4.457303524017333984e+00;8.469058837890625000e+02;1.477788085937500000e+03
1.455621875000000000e+04;3.387192153930664062e+01;2.704987109375000000e+04;4.633699798583984375e+01;4.466792106628417969e+00;8.473981323242187500e+02;1.478671386718750000e+03
